1,android/support/v7/app android/support/v7/internal/view android/support/v7/internal/widget android/support/v7/view
2,android/support/v4/app android/support/v4/content android/support/v4/util
3,android/support/v7/widget
4,android/support/v4/view android/support/v4/widget
5,android/support/v4/media
6,au/com/bytecode/opencsv
7,nl/frankkie/bronylivewallpaper
8,jp/tomorrowkey/android/gifplayer
9,android/support/v4/print
10,android/support/v4/text
11,android/support/v4/net
12,android/support/v4/hardware/display
13,android/support/v4/graphics/drawable
14,android/support/v4/database
15,android/support/v4/accessibilityservice
16,android/support/v4/os
17,android/support/v4/internal/view
